PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI,Remark
88.76,129.06,26,10.28,0.14,26.96,117.44,197,Moderate
64.18,135.32,30.85,12.91,0.11,33.59,111.81,198,Moderate
72.47,104.09,28.07,11.42,0.09,19,138.18,188,Moderate
69.8,114.84,23.2,12.25,0.16,10.55,109.74,173,Moderate
73.96,114.86,20.17,10.95,0.12,14.07,118.09,165,Moderate
89.9,113.56,19.29,10.95,0.1,13.9,123.8,191,Moderate
87.14,140.2,26.19,13.12,0.1,19.37,128.73,191,Moderate
84.64,130.52,21.31,14.36,0.15,11.41,114.8,227,Poor
88.36,125,26.98,14.41,0.18,9.84,112.41,168,Moderate
96.83,121.77,20.23,13.72,0.12,14.02,117.93,198,Moderate
117.46,139.36,25.65,15.12,0.11,16.54,117.21,201,Poor
122.88,181.64,41.1,17.34,0.13,28.79,94.63,252,Poor
74.28,208.86,54.87,17.96,0.27,22.97,68.6,310,Very Poor
50.32,141.22,44.97,15.73,0.09,21.9,60.62,196,Moderate
58.47,102.77,33.85,12.56,0.1,13.65,68.15,132,Moderate
89.35,115.27,41.64,15.2,0.16,18.37,73.75,147,Moderate
64.42,131.48,42.1,21.24,0.24,7.42,44.67,179,Moderate
69.4,99.74,34.78,17.63,0.15,5.81,50.16,145,Moderate
71.07,98.94,29.97,19.34,0.14,5.8,55,115,Moderate
79.76,109.65,25,16,0.1,8.33,79.04,140,Moderate
108.06,129.81,40.92,15.56,0.17,8.51,73.17,156,Moderate
100.75,167.62,47.05,18.52,0.08,16.05,70.74,225,Poor
106.25,172.04,53.94,18.49,0.11,14.05,59.2,251,Poor
83.79,171.56,43.09,19.66,0.13,15.45,66.9,228,Poor
79.98,141.83,47.47,17.37,0.3,13.35,77.54,223,Poor
76.27,147.74,49.55,17.28,0.14,13.58,79.71,170,Moderate
86.5,152.59,56,19.53,0.15,29.88,56.97,165,Moderate
100.62,147.95,42,20.78,0.15,11.85,73.09,159,Moderate
110.73,167.75,47.68,23.68,0.22,10.85,62.78,232,Poor
107.7,171.47,31.06,21.66,0.1,12.23,76.07,242,Poor
104.81,170.21,43.54,22.52,0.17,18.07,64.6,274,Poor
89.95,192.2,63.48,21.06,0.23,17.01,63.87,259,Poor
74.58,175.16,64.53,18.87,0.27,15.52,62.49,225,Poor
56.68,138.6,46.65,18.2,0.17,9.47,67.11,177,Moderate
61.03,109.33,33.26,16.86,0.1,8.26,66.91,120,Moderate
59.03,131.62,39.5,17.82,0.08,11.45,61.91,120,Moderate
61.88,108.83,23.36,18.03,0.09,26.05,87.55,120,Moderate
71.57,109.82,23.14,19.57,0.09,12.81,81.38,132,Moderate
